,Year,Month,Ward,Crime Count,Population,Crime Rate,Estimated Mean Income,Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm)
29,2021,3,2.0,35,9756.0,3.5875358753587534,125593.48,1.7967741935483872,0.0,0.0,4.2
30,2021,3,3.0,73,6702.2307692307695,10.891895924433886,117574.23,1.7967741935483872,0.0,0.0,4.2
31,2021,3,4.0,162,4798.8,33.758439609902474,101800.18,1.7967741935483872,0.0,0.0,4.2
32,2021,3,5.0,178,5119.9,34.766304029375576,96028.92,1.7967741935483872,0.0,0.0,4.2
33,2021,3,6.0,90,5858.5,15.362294102585986,118715.29,1.7967741935483872,0.0,0.0,4.2
34,2021,3,7.0,348,4104.409090909091,84.78686999568092,97385.67,1.7967741935483872,0.0,0.0,4.2
35,2021,3,8.0,269,3937.3076923076924,68.32079710852788,105905.3,1.7967741935483872,0.0,0.0,4.2
36,2021,3,9.0,300,3336.5714285714284,89.91265627675972,86731.65,1.7967741935483872,0.0,0.0,4.2
37,2021,3,10.0,256,5229.368421052632,48.954286519454904,101744.58,1.7967741935483872,0.0,0.0,4.2
38,2021,3,11.0,171,3885.8275862068967,44.00606980273141,106499.65,1.7967741935483872,0.0,0.0,4.2
39,2021,3,12.0,71,7890.692307692308,8.997943048772166,108832.46,1.7967741935483872,0.0,0.0,4.2
40,2021,3,13.0,74,7499.692307692308,9.867071469598752,108758.98,1.7967741935483872,0.0,0.0,4.2
41,2021,3,14.0,64,6067.6,10.547827806711055,113770.84,1.7967741935483872,0.0,0.0,4.2
42,2021,4,1.0,71,7929.0,8.954470929499307,122484.73,4.010344827586207,0.0,0.0,11.7
43,2021,4,2.0,48,9756.0,4.920049200492005,125593.48,4.010344827586207,0.0,0.0,11.7
44,2021,4,3.0,70,6702.2307692307695,10.44428376315578,117574.23,4.010344827586207,0.0,0.0,11.7
45,2021,4,4.0,174,4798.8,36.25906476619155,101800.18,4.010344827586207,0.0,0.0,11.7
46,2021,4,5.0,190,5119.9,37.110099806636846,96028.92,4.010344827586207,0.0,0.0,11.7
47,2021,4,6.0,79,5858.5,13.484680378936588,118715.29,4.010344827586207,0.0,0.0,11.7
48,2021,4,7.0,356,4104.409090909091,86.7359934438575,97385.67,4.010344827586207,0.0,0.0,11.7
49,2021,4,8.0,306,3937.3076923076924,77.71808146918042,105905.3,4.010344827586207,0.0,0.0,11.7
50,2021,4,9.0,338,3336.5714285714284,101.30159273848261,86731.65,4.010344827586207,0.0,0.0,11.7
51,2021,4,10.0,241,5229.368421052632,46.08587129370559,101744.58,4.010344827586207,0.0,0.0,11.7
52,2021,4,11.0,168,3885.8275862068967,43.23403349040279,106499.65,4.010344827586207,0.0,0.0,11.7
53,2021,4,12.0,77,7890.692307692308,9.758332602189533,108832.46,4.010344827586207,0.0,0.0,11.7
54,2021,4,13.0,57,7499.692307692308,7.600311807663904,108758.98,4.010344827586207,0.0,0.0,11.7
55,2021,4,14.0,35,6067.6,5.7683433317951085,113770.84,4.010344827586207,0.0,0.0,11.7
56,2021,5,1.0,96,7929.0,12.107453651153993,122484.73,8.864516129032259,0.0,0.0,33.800000000000004
